temperature,humidity,soil_moisture,rain_detection,water_level,motor_status
23.0,70.0,27.0,0,43,1
39.0,87.0,34.0,0,41,0
34.0,86.0,12.0,0,38,1
39.0,89.0,23.0,0,21,0
21.0,75.0,28.0,0,26,0
28.0,87.0,11.0,1,75,0
23.0,53.0,50.0,0,58,0
34.0,66.0,60.0,0,51,0
35.0,83.0,49.0,0,78,0
22.0,48.0,44.0,0,30,0
29.0,73.0,55.0,0,62,0
38.0,91.0,26.0,0,20,0
20.0,76.0,36.0,0,52,0
27.0,57.0,64.0,0,58,0
29.0,51.0,39.0,0,28,0
25.0,90.0,45.0,1,89,0
28.0,72.0,59.0,0,70,0
35.0,58.0,39.0,0,35,0
33.0,43.0,34.0,0,32,0
40.0,94.0,21.0,0,21,0
32.0,93.0,45.0,0,53,0
23.0,53.0,48.0,0,75,0
35.0,47.0,10.0,0,31,1
38.0,71.0,40.0,0,48,0
23.0,55.0,31.0,0,31,0
24.0,66.0,10.0,0,40,1
21.0,66.0,40.0,0,43,0
24.0,49.0,59.0,0,70,0
38.0,57.0,58.0,0,69,0
35.0,50.0,19.0,0,53,1
23.0,91.0,64.0,1,95,0
38.0,78.0,51.0,0,78,0
36.0,72.0,60.0,0,77,0
33.0,45.0,51.0,0,57,0
31.0,82.0,60.0,0,67,0
22.0,76.0,31.0,0,49,0
39.0,62.0,35.0,0,23,0
33.0,79.0,26.0,0,47,1
27.0,89.0,36.0,1,82,0
25.0,63.0,27.0,0,42,1
36.0,81.0,70.0,0,53,0
34.0,70.0,56.0,0,57,0
25.0,82.0,25.0,1,81,0
31.0,60.0,39.0,0,49,0
38.0,54.0,69.0,0,51,0
38.0,45.0,55.0,0,69,0
28.0,87.0,60.0,1,87,0
35.0,59.0,47.0,0,72,0
37.0,43.0,26.0,0,44,1
32.0,89.0,25.0,0,41,1
38.0,81.0,27.0,0,49,1
34.0,69.0,60.0,0,75,0
23.0,75.0,63.0,0,75,0
33.0,83.0,42.0,0,39,0
35.0,82.0,46.0,0,53,0
21.0,89.0,50.0,1,87,0
30.0,53.0,12.0,0,38,1
27.0,42.0,63.0,0,71,0
38.0,55.0,49.0,0,77,0
23.0,65.0,43.0,0,27,0
34.0,92.0,33.0,0,45,0
34.0,57.0,44.0,0,49,0
37.0,65.0,29.0,0,46,1
23.0,69.0,42.0,0,23,0
32.0,54.0,69.0,0,72,0
29.0,50.0,40.0,0,31,0
34.0,74.0,57.0,0,79,0
38.0,41.0,18.0,0,37,1
27.0,83.0,49.0,0,69,0
36.0,93.0,63.0,0,59,0
28.0,73.0,62.0,0,61,0
33.0,91.0,12.0,0,22,0
20.0,45.0,50.0,0,64,0
35.0,93.0,57.0,0,62,0
39.0,77.0,63.0,0,74,0
34.0,70.0,68.0,0,58,0
33.83,79.29,27.35,0,35,1
38.0,61.0,66.0,0,72,0
27.0,66.0,24.0,0,32,0
29.0,58.0,14.0,0,45,1
29.0,57.0,13.0,0,41,1
38.0,84.0,22.0,0,23,0
28.0,90.0,57.0,1,82,0
38.0,57.0,67.0,0,61,0
36.0,68.0,22.0,0,36,1
37.0,87.0,42.0,0,42,0
24.0,57.0,57.0,0,75,0
32.0,57.0,11.0,0,48,1
32.0,66.0,58.0,0,66,0
30.0,82.0,41.0,1,76,0
28.0,42.0,38.0,0,37,0
38.0,55.0,40.0,0,22,0
20.0,72.0,29.0,0,23,0
31.0,73.0,19.0,0,24,0
29.0,90.0,26.0,1,74,0
35.0,42.0,10.0,0,28,0
36.0,40.0,47.0,0,68,0
24.0,94.0,38.0,1,93,0
33.0,67.0,67.0,0,73,0
36.0,68.0,22.0,0,40,1
38.0,43.0,32.0,0,47,0
37.0,65.0,53.0,0,51,0
21.0,79.0,29.0,0,21,0
24.0,87.0,34.0,1,78,0
36.0,87.0,68.0,0,76,0
36.0,51.0,34.0,0,43,0
36.0,94.0,42.0,0,37,0
20.0,47.0,21.0,0,38,1
39.0,47.0,41.0,0,40,0
32.0,78.0,14.0,0,45,1
20.0,88.0,41.0,1,91,0
26.0,85.0,55.0,1,78,0
36.0,60.0,44.0,0,45,0
21.46,42.11,33.85,0,20,0
32.0,84.0,10.0,0,43,1
29.0,42.0,45.0,0,55,0
33.0,88.0,66.0,0,76,0
30.0,45.0,27.0,0,40,1
27.0,40.0,41.0,0,45,0
20.0,62.0,19.0,0,29,0
20.0,49.0,43.0,0,27,0
31.0,56.0,42.0,0,34,0
37.0,43.0,17.0,0,43,1
37.0,50.0,24.0,0,51,1
35.0,94.0,64.0,0,76,0
36.0,56.0,52.0,0,51,0
26.0,91.0,15.0,1,90,0
29.0,73.0,69.0,0,58,0
35.0,55.0,27.0,0,27,0
22.0,63.0,26.0,0,24,0
30.0,60.0,39.0,0,40,0
21.0,59.0,24.0,0,39,1
35.0,91.0,25.0,0,25,0
23.0,67.0,17.0,0,21,0
30.0,62.0,58.0,0,53,0
21.0,81.0,66.0,0,55,0
30.0,87.0,11.0,1,81,0
39.0,89.0,52.0,0,78,0
24.0,74.0,53.0,0,57,0
31.0,58.0,34.0,0,24,0
20.0,54.0,45.0,0,62,0
30.0,65.0,26.0,0,43,1
23.0,76.0,26.0,0,45,1
23.0,71.0,67.0,0,73,0
35.0,71.0,65.0,0,68,0
23.0,92.0,42.0,1,81,0
31.0,75.0,68.0,0,52,0
24.0,72.0,17.0,0,40,1
22.0,67.0,15.0,0,31,1
22.0,58.0,54.0,0,61,0
39.0,92.0,39.0,0,54,0
40.0,93.0,30.0,0,27,1
35.0,77.0,33.0,0,22,0
35.0,85.0,21.0,0,29,0
39.0,54.0,56.0,0,78,0
22.0,61.0,36.0,0,38,0
20.0,94.0,12.0,1,98,0
33.0,89.0,67.0,0,58,0
21.0,80.0,57.0,1,94,0
33.0,71.0,60.0,0,78,0
29.0,94.0,35.0,1,72,0
26.0,56.0,48.0,0,53,0
23.0,53.0,62.0,0,59,0
37.0,49.0,16.0,0,47,1
35.0,59.0,46.0,0,52,0
38.0,93.0,21.0,0,22,0
39.0,76.0,40.0,0,29,0
22.0,62.0,51.0,0,50,0
34.0,44.0,22.0,0,31,0
24.0,58.0,31.0,0,46,0
30.0,71.0,42.0,0,47,0
21.0,63.0,42.0,0,46,0
25.0,93.0,64.0,1,77,0
25.0,63.0,60.0,0,59,0
34.0,82.0,38.0,0,23,0
24.0,65.0,18.0,0,47,1
33.0,45.0,47.0,0,51,0
32.0,63.0,53.0,0,74,0
28.0,91.0,45.0,1,91,0
36.0,80.0,39.0,1,95,0
34.0,86.0,56.0,0,65,0
27.0,80.0,15.0,1,74,0
36.0,60.0,19.0,0,24,0
37.0,59.0,49.0,0,52,0
22.0,59.0,55.0,0,64,0
28.0,84.0,42.0,0,43,0
28.0,78.0,35.0,0,21,0
28.0,88.0,50.0,1,77,0
24.0,71.0,60.0,0,70,0
35.0,85.0,21.0,0,36,1
23.0,61.0,33.0,0,29,0
36.0,91.0,42.0,0,41,0
31.0,40.0,62.0,0,66,0
31.79,69.69,44.98,0,26,0
30.0,50.0,57.0,0,64,0
32.0,61.0,41.0,0,24,0
33.0,66.0,57.0,0,57,0
22.0,90.0,27.0,1,89,0
31.0,89.0,13.0,0,41,1
32.0,45.0,39.0,0,34,0
36.0,87.0,56.0,0,72,0
24.0,88.0,31.0,1,95,1
33.0,65.0,37.0,0,42,0
27.0,40.0,46.0,0,71,0
24.0,91.0,57.0,1,95,0
31.0,94.0,26.0,0,34,1
39.0,46.0,65.0,0,65,0
20.0,91.0,30.0,1,92,0
25.0,45.0,54.0,0,56,0
39.0,94.0,60.0,0,66,0
28.0,62.0,16.0,0,43,1
26.0,45.0,59.0,0,68,0
40.0,41.0,19.0,0,41,1
34.0,70.0,24.0,0,47,1
37.0,84.0,14.0,0,52,1
34.0,43.0,64.0,0,51,0
30.0,86.0,66.0,1,99,0
27.0,60.0,65.0,0,55,0
40.0,74.0,39.0,0,31,0
29.0,76.0,58.0,0,71,0
39.0,49.0,38.0,0,53,0
27.0,56.0,24.0,0,34,0
38.0,48.0,70.0,0,69,0
33.0,89.0,24.0,0,29,0
27.0,48.0,37.0,0,34,0
33.0,47.0,18.0,0,44,1
33.0,92.0,39.0,0,46,0
34.0,59.0,69.0,0,67,0
39.0,87.0,29.0,0,32,1
25.0,78.0,65.0,1,98,0
34.0,46.0,67.0,0,66,0
23.83,87.9,14.35,1,72,0
26.0,91.0,32.0,1,99,0
28.0,43.0,26.0,0,36,1
28.0,64.0,23.0,0,22,0
27.0,78.0,35.0,0,22,0
33.0,63.0,11.0,0,32,1
24.0,94.0,49.0,1,88,0
31.0,62.0,41.0,0,30,0
37.0,53.0,67.0,0,50,0
32.0,82.0,38.0,0,52,0
37.0,91.0,16.0,0,22,0
31.0,84.0,68.0,0,78,0
33.0,91.0,63.0,0,65,0
37.0,58.0,12.0,0,28,0
24.0,80.0,58.0,1,82,0
24.0,93.0,25.0,1,87,0
35.0,73.0,49.0,0,60,0
32.0,81.0,56.0,0,76,0
23.0,90.0,35.0,1,98,0
25.0,55.0,11.0,0,50,1
21.76,42.33,38.86,0,32,0
35.0,47.0,10.0,0,45,1
29.0,49.0,39.0,0,37,0
38.0,43.0,52.0,0,54,0
36.0,84.0,20.0,0,41,1
27.0,77.0,13.0,0,31,1
32.0,44.0,38.0,0,41,0
36.0,84.0,22.0,0,26,0
26.0,60.0,27.0,0,22,0
28.0,48.0,13.0,0,22,0
21.0,71.0,24.0,0,36,1
39.0,40.0,49.0,0,66,0
23.0,54.0,33.0,0,44,0
23.0,49.0,34.0,0,22,0
34.0,90.0,32.0,0,43,0
25.0,68.0,24.0,0,42,1
23.0,78.0,19.0,0,44,1
21.76,81.72,20.84,1,85,0
36.0,82.0,45.0,0,75,0
26.0,72.0,14.0,0,36,1
38.0,40.0,36.0,0,22,0
30.0,54.0,43.0,0,32,0
29.0,62.0,46.0,0,58,0
28.0,73.0,48.0,0,58,0
24.0,47.0,43.0,0,31,0
25.0,82.0,58.0,0,66,0
25.0,44.0,32.0,0,47,0
37.0,58.0,56.0,0,55,0
33.0,92.0,49.0,0,57,0
31.0,74.0,58.0,0,70,0
30.0,71.0,44.0,0,32,0
30.0,86.0,44.0,1,88,0
31.0,54.0,37.0,0,50,0
23.0,72.0,24.0,0,22,0
36.0,51.0,35.0,0,52,0
34.0,77.0,22.0,0,48,1
28.0,59.0,10.0,0,41,1
34.0,44.0,69.0,0,73,0
25.0,47.0,63.0,0,54,0
30.0,64.0,31.0,0,47,0
24.0,57.0,64.0,0,79,0
22.0,67.0,26.0,0,50,1
28.76,45.97,24.6,0,47,1
26.0,47.0,60.0,0,67,0
36.0,64.0,59.0,0,61,0
38.0,77.0,48.0,0,50,0
22.0,50.0,62.0,0,63,0
34.19,55.56,20.91,0,31,1
25.0,61.0,68.0,0,65,0
28.0,91.0,21.0,1,79,0
25.34,81.49,31.46,1,86,0
20.0,70.0,39.0,0,37,0
38.0,72.0,10.0,0,32,1
26.0,54.0,62.0,0,55,0
36.0,62.0,33.0,0,38,0
24.0,74.0,45.0,0,50,0
22.0,91.0,14.0,1,97,0
37.0,81.0,16.0,0,27,0
36.0,61.0,57.0,0,54,0
28.0,47.0,69.0,0,64,0
31.0,53.0,55.0,0,57,0
40.0,74.0,64.0,0,53,0
35.0,93.0,60.0,0,58,0
32.0,86.0,57.0,0,65,0
33.0,95.0,42.0,0,48,0
38.0,62.0,38.0,0,49,0
33.0,80.0,45.0,0,60,0
22.0,72.0,30.0,0,50,0
28.0,85.0,31.0,1,83,1
25.0,51.0,54.0,0,66,0
29.0,51.0,69.0,0,62,0
20.0,75.0,54.0,0,72,0
26.0,85.0,56.0,1,89,0
36.0,71.0,25.0,0,35,0
28.0,51.0,14.0,0,47,1
20.0,62.0,32.0,0,45,0
32.0,83.0,10.0,1,98,0
38.0,52.0,56.0,0,72,0
20.0,41.0,13.0,0,33,1
31.0,50.0,46.0,0,74,0
26.0,74.0,27.0,0,46,1
30.0,41.0,58.0,0,58,0
37.0,85.0,14.0,0,25,0
28.0,86.0,23.0,1,93,0
26.0,48.0,63.0,0,71,0
36.0,91.0,33.0,0,43,0
27.0,72.0,11.0,0,49,1
27.0,86.0,51.0,1,75,0
26.0,56.0,59.0,0,71,0
31.0,47.0,33.0,0,30,0
21.0,48.0,65.0,0,68,0
29.0,85.0,40.0,1,71,0
20.0,87.0,48.0,1,77,0
25.0,57.0,54.0,0,56,0
29.0,55.0,21.0,0,20,0
32.0,94.0,26.0,0,28,0
39.0,65.0,52.0,0,71,0
20.0,55.0,63.0,0,55,0
26.0,88.0,12.0,1,94,0
32.0,72.0,14.0,0,33,0
31.0,54.0,45.0,0,77,0
35.0,42.0,54.0,0,52,0
22.0,81.0,36.0,1,86,0
35.0,91.0,66.0,0,68,0
38.0,64.0,67.0,0,79,0
34.0,64.0,45.0,0,60,0
34.0,73.0,15.0,0,36,1
38.0,61.0,43.0,0,36,0
22.23,66.44,21.59,0,21,0
32.0,90.0,67.0,0,68,0
25.0,48.0,15.0,0,28,0
38.0,67.0,69.0,0,60,0
40.0,40.0,24.0,0,23,0
38.0,69.0,16.0,0,29,0
39.0,40.0,22.0,0,20,0
40.0,47.0,57.0,0,67,0
40.0,68.0,32.0,0,40,1
32.0,82.0,26.0,0,48,1
23.0,94.0,34.0,1,85,0
30.0,80.0,50.0,1,74,0
25.0,76.0,40.0,0,53,0
27.0,41.0,45.0,0,63,0
26.0,48.0,15.0,0,38,1
31.86,41.05,16.25,0,42,1
27.0,42.0,37.0,0,48,0
20.0,81.0,30.0,0,34,1
27.0,82.0,18.0,1,84,0
39.0,88.0,61.0,0,71,0
30.0,78.0,50.0,0,53,0
23.0,47.0,18.0,0,51,1
38.0,46.0,66.0,0,52,0
28.0,90.0,29.0,1,77,0
21.0,61.0,12.0,0,31,1
31.0,61.0,26.0,0,29,0
23.0,70.0,27.0,0,35,0
39.0,54.0,51.0,0,73,0
35.0,65.0,57.0,0,74,0
24.0,81.0,26.0,1,74,0
21.0,50.0,59.0,0,78,0
34.0,64.0,53.0,0,72,0
31.0,83.0,37.0,0,53,0
28.0,49.0,19.0,0,35,1
36.0,61.0,39.0,0,49,0
32.0,84.0,42.0,1,93,0
31.0,48.0,46.0,0,59,0
23.0,70.0,11.0,0,35,0
34.0,69.0,35.0,0,38,0
21.0,57.0,63.0,0,56,0
36.0,49.0,44.0,0,39,0
26.0,73.0,57.0,0,61,0
32.0,40.0,69.0,0,73,0
26.0,66.0,34.0,0,34,0
25.0,42.0,11.0,0,24,0
24.0,89.0,30.0,1,95,0
39.0,54.0,40.0,0,26,0
25.0,57.0,23.0,0,38,1
27.0,75.0,67.0,0,65,0
29.0,59.0,59.0,0,53,0
35.0,44.0,66.0,0,69,0
27.0,42.0,32.0,0,26,1
21.0,67.0,46.0,0,56,0
27.0,67.0,45.0,0,75,0
38.0,87.0,69.0,0,60,0
26.0,54.0,70.0,0,50,0
37.0,89.0,11.0,0,33,0
32.0,87.0,63.0,0,51,0
24.0,90.0,61.0,1,73,0
25.0,74.0,60.0,0,53,0
33.0,57.0,31.0,0,28,1
22.0,53.0,69.0,0,62,0
33.0,88.0,38.0,0,23,0
34.0,88.0,51.0,0,55,0
28.0,78.0,35.0,0,42,0
28.0,85.0,28.0,1,81,1
22.0,66.0,63.0,0,66,0
20.0,55.0,20.0,0,39,1
39.0,74.0,19.0,0,21,0
29.0,86.0,48.0,1,81,0
40.0,43.0,58.0,0,65,0
27.0,88.0,30.0,1,94,0
27.0,44.0,15.0,0,42,1
26.0,72.0,10.0,0,44,1
27.0,62.0,65.0,0,55,0
20.0,55.0,38.0,0,42,0
29.0,48.0,68.0,0,77,0
38.0,61.0,14.0,0,21,0
20.0,46.0,65.0,0,58,0
24.0,73.0,31.0,0,26,0
21.0,78.0,12.0,1,88,0
22.0,88.0,46.0,1,91,0
21.0,69.0,12.0,0,40,1
38.0,47.0,43.0,0,23,0
38.0,77.0,36.0,0,32,0
30.0,40.0,60.0,0,70,0
40.0,47.0,47.0,0,57,0
20.0,60.0,44.0,0,53,0
38.0,47.0,57.0,0,62,0
20.0,67.0,10.0,0,42,1
21.0,87.0,53.0,1,78,0
31.0,63.0,14.0,0,39,1
37.0,91.0,38.0,0,44,0
25.0,40.0,17.0,0,20,0
22.0,54.0,10.0,0,45,1
35.0,53.0,19.0,0,26,0
30.0,76.0,24.0,0,47,1
30.0,46.0,50.0,0,50,0
26.0,77.0,37.0,0,24,0
28.0,47.0,61.0,0,62,0
30.0,77.0,11.0,0,26,0
32.0,53.0,33.0,0,53,0
39.0,80.0,17.0,1,81,0
23.0,86.0,13.0,1,89,0
33.0,63.0,57.0,0,61,0
33.0,62.0,44.0,0,34,0
37.0,89.0,34.0,0,40,0
26.0,60.0,39.0,0,32,0
25.0,55.0,69.0,0,70,0
32.0,58.0,38.0,0,22,0
24.0,77.0,39.0,0,46,0
23.47,76.45,13.39,0,38,1
28.0,77.0,59.0,0,67,0
27.0,60.0,24.0,0,52,1
35.0,72.0,64.0,0,77,0
29.0,66.0,24.0,0,30,0
34.0,67.0,43.0,0,21,0
30.0,54.0,12.0,0,24,0
37.0,62.0,69.0,0,71,0
33.0,46.0,31.0,0,38,0
39.0,88.0,61.0,0,71,0
25.0,41.0,63.0,0,62,0
25.0,61.0,27.0,0,27,0
35.0,59.0,22.0,0,31,1
28.0,73.0,64.0,0,54,0
21.0,76.0,15.0,0,26,0
35.0,94.0,52.0,0,70,0
34.0,43.0,16.0,0,54,1
20.0,80.0,15.0,1,89,0
34.0,67.0,43.0,0,21,0
20.0,71.0,66.0,0,64,0
24.0,52.0,60.0,0,61,0
38.0,67.0,26.0,0,38,1
25.0,66.0,65.0,0,61,0
40.0,84.0,56.0,0,51,0
20.0,60.0,36.0,0,29,0
34.0,80.0,58.0,1,75,0
26.0,85.0,43.0,1,84,0
27.0,79.0,31.0,0,41,0
26.0,73.0,15.0,0,25,0
21.0,73.0,69.0,0,55,0
40.0,63.0,25.0,0,32,0
38.0,82.0,11.0,1,85,0
33.0,94.0,21.0,0,54,1
21.0,65.0,39.0,0,28,0
24.0,81.0,62.0,1,96,0
36.0,75.0,49.0,0,66,0
21.0,93.0,27.0,1,91,0
35.0,61.0,20.0,0,53,1
26.0,87.0,16.0,1,87,0
21.0,50.0,19.0,0,34,1
20.0,55.0,32.0,0,25,0
37.0,64.0,21.0,0,34,1
31.0,61.0,26.0,0,26,0
23.0,59.0,50.0,0,62,0
28.0,66.0,35.0,0,38,0
39.0,66.0,42.0,0,33,0
38.0,41.0,62.0,0,61,0
38.0,56.0,14.0,0,48,1
27.0,53.0,48.0,0,77,0
33.0,45.0,59.0,0,54,0
23.0,72.0,56.0,0,62,0
23.0,49.0,65.0,0,66,0
32.0,83.0,10.0,0,38,1
20.0,68.0,59.0,0,51,0
23.0,70.0,53.0,0,75,0
30.0,44.0,39.0,0,36,0
28.0,86.0,43.0,1,73,0
21.0,95.0,55.0,1,96,0
31.0,51.0,60.0,0,74,0
