K,N,P,soil_moisture,humidity,ph,rainfall,temperature,label
43,90,42,56.3,82.00274423,6.502985292,202.9355362,20.87974371,rice
41,85,58,48.83,80.31964408,7.038096361,226.6555374,21.77046169,rice
44,60,55,11.1,82.3207629,7.840207144,263.9642476,23.00445915,rice
40,74,35,61.89,80.15836264,6.980400905,242.8640342,26.49109635,rice
42,78,42,18.79,81.60487287,7.628472891,262.7173405,20.13017482,rice
42,69,37,31.97,83.37011772,7.073453503,251.0549998,23.05804872,rice
38,69,55,27.06,82.63941394,5.70080568,271.3248604,22.70883798,rice
40,94,53,51.65,82.89408619,5.718627178,241.9741949,20.27774362,rice
38,89,54,23.92,83.5352163,6.685346424,230.4462359,24.51588066,rice
38,68,58,42.58,83.03322691,6.336253525,221.2091958,23.22397386,rice
40,91,53,40.06,81.41753846,5.386167788,264.6148697,26.52723513,rice
42,90,46,27.48,81.45061596,7.50283396,250.0832336,23.97898217,rice
44,78,58,14.17,80.88684822,5.108681786,284.4364567,26.80079604,rice
36,93,56,18.43,82.05687182,6.98435366,185.2773389,24.01497622,rice
37,94,50,20.99,80.66385045,6.94801983,209.5869708,25.66585205,rice
39,60,48,58.87,80.30025587,7.042299069,231.0863347,24.28209415,rice
41,85,38,64.28,82.7883708,6.249050656,276.6552459,21.58711777,rice
39,91,35,54.23,80.41817957,6.970859754,206.2611855,23.79391957,rice
36,77,38,44.29,80.1923008,5.953933276,224.5550169,21.8652524,rice
40,88,35,13.97,83.58760316,5.85393208,291.2986618,23.57943626,rice
36,89,45,59.26,80.47476396,6.442475375,185.4974732,21.32504158,rice
43,76,40,18.63,83.11713476,5.070175667,231.3843163,25.15745531,rice
41,67,59,33.03,80.97384195,6.012632591,213.3560921,21.94766735,rice
43,83,41,53.53,82.67839517,6.254028451,233.1075816,21.0525355,rice
37,98,47,37.08,81.33265073,7.375482851,224.0581164,23.48381344,rice
41,66,53,36.99,80.52389148,7.778915154,257.0038865,25.0756354,rice
43,97,59,46.68,84.04403589,6.286500176,271.3586137,26.35927159,rice
41,97,50,48.42,80.54498576,7.070959995,260.2634026,24.52922681,rice
44,60,49,38.95,84.49774397,6.244841491,240.0810647,20.77576147,rice
35,84,51,28.24,80.64416466,6.043304899,197.9791215,22.30157427,rice
41,73,57,64.93,84.94375962,5.824709117,272.2017204,21.44653958,rice
40,92,35,58.73,80.33127223,6.357389366,200.0882787,22.17931888,rice
39,85,37,42.76,82.73685569,6.364134968,224.6757231,24.52783742,rice
38,98,53,43.02,81.63895217,5.01450727,270.4417274,20.26707606,rice
44,88,54,61.4,83.88266234,6.149410611,233.1321372,25.7354293,rice
42,95,55,20.17,82.1480873,5.950660556,193.3473987,26.79533926,rice
35,99,57,45.16,81.17734011,5.960370061,272.2999056,26.75754171,rice
36,95,39,14.45,83.15250801,5.561398642,285.2493645,23.86330467,rice
44,60,43,55.26,82.95221726,7.416245107,298.4018471,21.01944696,rice
41,63,44,9.49,83.7287574,5.583370042,257.0343554,24.17298839,rice
36,62,42,53.17,82.06719137,6.430010215,248.7183228,22.78133816,rice
43,64,45,30.51,83.52842314,5.534878156,209.9001977,25.62980105,rice
36,83,60,34.66,80.14509262,6.903985986,200.834898,25.59704938,rice
40,82,40,37.31,84.81360127,6.271478838,298.5601175,23.83067496,rice
45,85,52,12.8,82.36698992,7.224285503,265.5355937,26.31355498,rice
38,91,35,49.84,80.52586088,6.13428721,183.6793207,24.8972823,rice
42,76,49,34.9,84.47963372,5.206373153,196.9560008,24.958779,rice
38,74,39,61.22,84.59201843,7.782051313,233.0453455,23.24113501,rice
39,79,43,18.04,80.70960551,7.062779015,210.8142087,21.66628296,rice
45,88,55,12.38,80.41363018,7.730367824,253.7202781,24.63544858,rice
43,60,36,34.41,83.06310136,5.286203711,219.9048349,23.43121862,rice
39,76,60,46.9,80.3477562,6.766240045,208.5810155,20.0454142,rice
42,93,56,49.32,82.22572988,7.382762603,195.0948311,23.85724032,rice
43,65,60,39.49,81.89918197,5.658169482,227.3637009,21.97199397,rice
36,95,52,18.83,83.83625819,5.543360238,286.5083725,26.22916897,rice
39,75,38,47.75,84.79352417,6.215109715,283.9338466,23.44676801,rice
38,74,54,53.1,83.47021081,7.120272972,217.3788583,25.65553461,rice
45,91,36,42.74,82.45432595,5.950647577,267.9761948,24.44345477,rice
40,71,46,33.01,82.1235421,7.236705436,191.9535738,20.2801937,rice
35,99,55,25.23,80.2389895,6.501697816,277.9626192,21.7238313,rice
38,72,40,19.37,82.20802629,7.592490617,245.1511304,20.41447029,rice
45,83,58,40.61,83.51827127,5.875345751,245.6626799,25.75528612,rice
38,93,58,29.07,83.77345559,6.932400225,279.5451717,20.61521424,rice
42,70,36,50.45,80.72886384,6.946209881,202.3838319,21.84106875,rice
42,76,47,59.73,83.29114712,5.739175027,263.6372176,20.08369642,rice
36,99,41,13.44,82.74835604,6.738652179,182.5616319,24.45802087,rice
37,99,54,16.66,80.33502926,5.594819626,198.6730942,21.14347496,rice
35,86,59,54.85,82.11124033,6.946636369,243.5120414,25.78720567,rice
41,69,46,12.12,80.28597873,5.012139669,263.1103304,23.64124821,rice
37,91,56,22.71,80.56887849,6.363472208,269.5039162,23.43191632,rice
41,61,52,42.1,83.891805,6.880431223,204.8001847,24.97669518,rice
38,67,45,20.43,82.1706881,7.300410836,260.8875056,22.72791041,rice
37,79,42,54.92,82.84022551,6.587918708,295.6094492,24.87300744,rice
42,78,43,36.99,83.00320459,7.283736617,192.3197536,21.32376327,rice
36,75,54,49.92,84.56919326,7.023936392,257.4914906,26.29465461,rice
45,97,36,14.76,81.85872947,6.939083505,278.0791793,22.2286982,rice
44,67,47,29.66,81.78596776,7.868474653,280.4044392,26.73072391,rice
38,73,35,55.76,81.97927117,5.005306977,185.9461429,24.88921174,rice
37,77,36,62.95,81.46033732,6.136131869,194.5766559,26.88444878,rice
38,81,41,39.53,83.72874389,7.524080076,200.9133156,22.67846116,rice
43,68,57,52.65,80.37979919,5.706943251,182.9043504,26.08867875,rice
35,72,45,47.97,82.94682591,5.758506323,195.3574542,25.42977518,rice
43,61,53,26.65,81.05635517,6.349606327,223.3671883,26.40323239,rice
39,67,43,44.46,84.96907151,5.999969026,186.7536773,26.04371967,rice
39,67,58,21.47,80.54372813,5.453592032,220.1156708,25.2827223,rice
38,66,60,54.47,83.47038318,6.372576327,231.7364957,22.08576562,rice
38,82,43,29.2,81.43321641,5.105588355,242.3170629,23.28617173,rice
44,84,50,27.87,81.40633547,5.935344406,182.6549356,25.48591986,rice
42,81,53,61.26,81.03569343,5.17782304,233.7034975,23.67575393,rice
40,91,50,29.57,84.1341879,6.462391607,230.2242223,20.82477109,rice
38,93,53,26.27,81.91411159,7.069172227,290.6793783,26.92995077,rice
38,90,44,37.82,83.88387074,7.473134377,241.2013513,23.83509503,rice
35,81,45,32.81,80.12267476,6.158376967,218.9163567,26.52872817,rice
38,78,40,42.88,83.85642678,7.549873681,248.2256491,26.46428311,rice
36,60,51,27.2,82.81088865,6.028321558,256.9964761,22.69657794,rice
42,88,46,18.19,83.46358271,6.604993475,194.2651719,22.68319059,rice
37,93,47,48.69,82.14004101,6.500343222,295.9248796,21.53346343,rice
45,60,55,20.14,83.3293191,5.935745417,287.5766935,21.40865769,rice
44,78,35,23.05,84.67353597,7.072655622,183.6222657,26.54348085,rice
40,65,37,46.85,83.59512273,5.333322606,188.413665,23.35905428,rice
16,71,54,44.92,63.69070564,5.749914421,87.75953857,22.61359953,maize
17,61,44,17.85,71.57476937,6.931756558,102.2662445,26.10018422,maize
16,80,43,59.7,71.59351368,6.657964753,66.71995467,23.55882094,maize
21,73,58,22.49,57.68272924,6.596060648,60.65171481,19.97215954,maize
20,61,38,36.0,62.69503871,5.970458434,65.43835393,18.47891261,maize
16,68,41,31.34,57.80840636,6.158830619,102.0861694,21.77689322,maize
17,93,41,56.34,66.50415474,6.047906679,105.4654703,25.6217169,maize
19,89,60,41.69,66.6902901,5.913664501,78.06639649,25.19192419,maize
17,76,44,52.68,62.5542482,5.855442401,65.27798457,20.41683147,maize
25,67,60,38.38,66.78627406,5.750254943,109.2162279,24.92162194,maize
19,70,44,59.56,73.4541537,5.852607099,94.29712821,23.31689124,maize
21,90,49,30.93,68.3584573,6.472523287,74.05474936,24.84016732,maize
16,62,52,63.09,58.84015925,6.967057762,63.87020584,22.27526694,maize
16,92,44,43.62,65.76816093,6.082973754,94.76189431,18.87751445,maize
21,66,54,63.59,60.2001687,5.919045532,72.12375573,25.19008683,maize
22,63,58,38.93,55.28220433,6.204747653,63.72358154,18.25405352,maize
17,70,47,36.03,70.4162444,6.600827017,104.1626147,24.6129118,maize
17,61,41,61.44,65.26185135,6.021902237,76.68456006,25.1420613,maize
19,66,53,27.14,60.1159381,6.033550195,65.49730729,23.09348056,maize
19,74,55,38.24,62.89366992,6.28886807,84.23613484,18.05033737,maize
21,77,57,44.74,73.80435276,6.550563823,79.74078719,24.9321581,maize
15,99,50,45.63,71.09445342,5.573286437,88.07753741,18.14710054,maize
22,74,56,50.12,66.65952796,6.829199275,80.97573281,18.28362235,maize
21,83,45,12.43,58.75082029,5.716222912,79.7532896,18.83344471,maize
16,100,48,51.47,67.22190688,5.54990242,74.51490791,25.71895816,maize
16,79,51,31.29,68.49835977,6.586244581,96.46380213,25.33797709,maize
18,94,39,48.0,57.48775781,5.893093135,102.8301942,23.89114571,maize
15,75,49,37.52,71.50905983,5.918263801,102.4852929,21.53574127,maize
22,78,48,39.42,63.10459626,5.588650585,70.43473609,23.08974909,maize
20,87,54,38.28,63.4711755,6.576418207,108.8303762,25.61707368,maize
25,87,35,58.31,63.1621551,6.178056304,65.88951188,21.44526922,maize
19,63,43,38.01,55.53128131,6.641906353,90.988051,18.51816776,maize
25,84,57,16.96,67.99257471,6.489040367,64.40866039,22.53510514,maize
23,64,35,56.24,61.89472002,5.680361038,63.03843397,23.02038334,maize
22,60,46,63.9,65.61418761,6.625404348,87.9298085,24.89364635,maize
21,98,44,41.86,74.089114,6.524478032,107.4931917,25.77175115,maize
18,75,56,58.77,62.35750641,5.696205468,60.95197486,19.39851734,maize
21,86,55,47.34,59.64024162,6.803931519,109.7515385,21.54156232,maize
18,98,35,21.7,74.82913698,6.252797548,91.76337172,23.79746068,maize
18,76,57,39.08,74.52600826,6.092725883,94.26249353,18.9802729,maize
17,99,56,64.95,73.13112261,6.234330356,71.07562236,24.10859207,maize
23,60,44,23.89,70.04556743,5.722579819,76.72860067,24.7947077,maize
17,74,48,28.4,60.27766379,6.430616465,69.21803098,21.63162756,maize
17,89,60,28.7,57.21025565,5.983952675,101.7004306,25.37548751,maize
23,69,51,30.14,72.85462807,6.80163854,106.6213157,22.21738222,maize
22,96,46,63.69,69.00128641,6.499936446,66.29390357,20.58314011,maize
15,61,60,56.96,68.74248334,6.265564338,91.26056654,24.87502824,maize
18,74,58,60.16,56.35606753,6.727303282,109.024141,20.03728219,maize
23,74,43,38.1,61.89082199,6.325235159,99.57981207,25.95263264,maize
17,63,43,29.03,65.47050802,6.807487794,71.3195307,19.28889933,maize
20,99,36,22.86,65.34583901,6.671085817,78.34604471,20.57981887,maize
23,77,36,14.89,56.73426469,6.648725327,88.45361858,24.71417533,maize
23,87,60,28.42,63.91281869,6.439071996,62.50351892,20.27317074,maize
17,60,38,27.89,64.23580251,6.474476516,76.41312437,18.41932981,maize
17,94,54,57.93,61.74427165,5.871647806,107.3198135,23.39128187,maize
22,95,38,48.87,61.24500053,5.730617109,100.7689246,19.84939404,maize
21,84,44,47.86,61.91044947,5.850439831,107.2681929,21.869274,maize
19,77,58,41.84,56.50768935,5.791649933,101.5952794,22.8056033,maize
20,66,44,38.44,69.02298571,6.740000688,80.72515943,19.0781471,maize
16,63,35,15.38,65.35549924,6.272417541,83.73280082,22.02720976,maize
20,79,45,28.18,59.24537979,5.715208817,89.9622014,23.80546189,maize
25,72,60,20.54,69.0276233,5.773454729,88.10234397,18.52510753,maize
24,67,51,63.74,61.32026065,5.584171461,64.77791424,23.50297882,maize
24,86,36,63.69,72.89187265,5.787268394,73.33636055,26.54986394,maize
18,76,48,25.92,69.63481219,5.77597783,83.21030571,19.29563411,maize
18,75,53,16.02,59.4375337,6.864793607,103.651438,20.68899915,maize
23,81,45,45.12,68.034493,6.192360003,84.22969177,19.32666088,maize
21,73,45,48.45,73.58868502,6.636803223,96.59195302,24.60532218,maize
24,71,35,52.1,59.52193158,5.826426917,67.96704792,22.27373646,maize
22,96,54,40.65,61.33450447,6.960358276,83.20711308,25.70196694,maize
18,99,39,64.97,68.30578978,6.11275104,87.85092352,19.20129357,maize
20,62,48,34.15,60.47470519,6.708446922,95.71388473,21.70181447,maize
16,86,37,45.12,59.21235483,5.561510732,67.61013737,20.51716779,maize
19,94,50,41.7,73.62548442,5.873242491,97.59081274,23.30355338,maize
24,76,39,20.44,55.64709899,6.995843776,64.23845455,24.2547451,maize
17,77,52,54.92,65.7420046,5.714799723,75.82270467,24.86374934,maize
23,74,39,63.44,65.77472881,6.78073637,88.17251033,22.6265115,maize
20,81,49,13.7,60.61494304,5.513697923,104.2321615,18.04185513,maize
21,63,42,42.97,72.33125523,5.798423908,67.10225139,23.26237612,maize
21,99,38,36.02,71.59722446,6.352471866,67.72777298,22.88330922,maize
25,90,52,15.4,69.36385721,6.822586546,103.2234212,25.97482359,maize
19,68,40,51.77,66.20569924,6.655426355,107.2361366,26.14384005,maize
24,60,57,54.77,61.55327249,6.121294041,75.03247667,18.66116213,maize
18,71,52,16.66,55.97732754,5.790770203,78.16077693,25.10787449,maize
17,61,59,12.2,59.24580604,6.47444292,105.0083144,23.33844615,maize
15,88,38,36.45,65.92195844,6.455116637,62.49190812,25.08239719,maize
22,65,60,16.53,72.52054555,6.606984086,107.9124111,25.36768364,maize
22,78,37,28.77,63.31801994,6.330554389,74.52082026,25.34217103,maize
15,78,58,8.88,67.816568,6.528631266,62.91359494,25.00933355,maize
23,92,60,55.11,71.516474,5.721667141,69.93293255,18.66746724,maize
17,79,59,33.72,63.73849998,6.644205485,108.5054416,20.37999665,maize
15,91,55,49.33,72.61024172,6.376651091,78.96159541,18.09300227,maize
18,76,51,32.63,71.96246617,6.247040422,79.84925393,26.16985907,maize
